"","x","y","num_shots","num_made","prop_made","avg_points","total_points"
"358",15,7,9,6,0.666666666666667,1.33333333333333,12
"359",15,8,5,3,0.6,1.2,6
"360",15,9,6,2,0.333333333333333,0.666666666666667,4
"361",15,10,6,3,0.5,1,6
"362",15,11,6,4,0.666666666666667,1.33333333333333,8
"363",15,12,4,2,0.5,1,4
"364",15,13,6,4,0.666666666666667,1.33333333333333,8
"365",15,14,8,3,0.375,0.75,6
"366",15,15,5,2,0.4,0.8,4
"367",15,16,8,6,0.75,1.5,12
"368",15,17,2,0,0,0,0
"369",15,18,3,2,0.666666666666667,1.33333333333333,4
"370",15,19,8,3,0.375,0.75,6
"371",15,20,12,5,0.416666666666667,0.833333333333333,10
"372",15,21,10,4,0.4,0.8,8
"373",15,22,16,6,0.375,0.75,12
"374",15,23,11,1,0.0909090909090909,0.181818181818182,2
"375",15,24,7,4,0.571428571428571,1.14285714285714,8
"376",15,25,10,2,0.2,0.4,4
"377",15,26,2,1,0.5,1,2
"378",15,28,5,2,0.4,1.2,6
"379",15,29,20,4,0.2,0.6,12
"380",15,30,20,9,0.45,1.35,27
"381",15,31,13,6,0.461538461538462,1.38461538461538,18
"382",15,32,2,0,0,0,0
"383",15,33,3,1,0.333333333333333,1,3
"384",15,35,1,0,0,0,0
"385",15,52,1,0,0,0,0
"386",16,5,1,0,0,0,0
"387",16,6,8,2,0.25,0.5,4
"388",16,7,18,8,0.444444444444444,0.888888888888889,16
"389",16,8,7,4,0.571428571428571,1.14285714285714,8
"390",16,9,14,6,0.428571428571429,0.857142857142857,12
"391",16,10,6,2,0.333333333333333,0.666666666666667,4
"392",16,11,7,5,0.714285714285714,1.42857142857143,10
"393",16,12,5,0,0,0,0
"394",16,13,5,2,0.4,0.8,4
"395",16,14,5,2,0.4,0.8,4
"396",16,15,5,4,0.8,1.6,8
"397",16,16,7,1,0.142857142857143,0.285714285714286,2
"398",16,17,4,1,0.25,0.5,2
"399",16,18,9,4,0.444444444444444,0.888888888888889,8
"400",16,19,6,3,0.5,1,6
"401",16,20,12,8,0.666666666666667,1.33333333333333,16
"402",16,21,14,6,0.428571428571429,0.857142857142857,12
"403",16,22,18,6,0.333333333333333,0.666666666666667,12
"404",16,23,11,5,0.454545454545455,0.909090909090909,10
"405",16,24,11,3,0.272727272727273,0.545454545454545,6
"406",16,25,8,3,0.375,0.75,6
"407",16,26,1,1,1,2,2
"408",16,27,4,1,0.25,0.5,2
"409",16,28,1,0,0,0,0
"410",16,29,9,2,0.222222222222222,0.666666666666667,6
"411",16,30,21,9,0.428571428571429,1.28571428571429,27
"412",16,31,6,4,0.666666666666667,2,12
"413",16,32,5,1,0.2,0.6,3
"414",16,47,1,0,0,0,0
"415",16,63,1,0,0,0,0
"416",17,5,2,0,0,0,0
"417",17,6,3,0,0,0,0
"418",17,7,10,6,0.6,1.2,12
"419",17,8,11,5,0.454545454545455,0.909090909090909,10
"420",17,9,9,2,0.222222222222222,0.444444444444444,4
"421",17,10,8,2,0.25,0.5,4
"422",17,11,5,2,0.4,0.8,4
"423",17,12,10,4,0.4,0.8,8
"424",17,13,7,2,0.285714285714286,0.571428571428571,4
"425",17,14,7,3,0.428571428571429,0.857142857142857,6
"426",17,15,5,3,0.6,1.2,6
"427",17,16,3,2,0.666666666666667,1.33333333333333,4
"428",17,17,2,0,0,0,0
"429",17,18,6,4,0.666666666666667,1.33333333333333,8
"430",17,19,7,4,0.571428571428571,1.14285714285714,8
"431",17,20,11,4,0.363636363636364,0.727272727272727,8
"432",17,21,14,8,0.571428571428571,1.14285714285714,16
"433",17,22,10,3,0.3,0.6,6
"434",17,23,11,6,0.545454545454545,1.09090909090909,12
"435",17,24,5,4,0.8,1.6,8
"436",17,25,8,3,0.375,0.75,6
"437",17,26,4,2,0.5,1,4
"438",17,27,4,2,0.5,1,4
"439",17,28,3,1,0.333333333333333,0.666666666666667,2
"440",17,29,5,3,0.6,1.8,9
"441",17,30,17,5,0.294117647058824,0.882352941176471,15
"442",17,31,15,2,0.133333333333333,0.4,6
"443",17,32,4,1,0.25,0.75,3
"444",17,33,1,0,0,0,0
"445",17,34,1,0,0,0,0
"446",17,58,1,0,0,0,0
"447",18,6,3,0,0,0,0
"448",18,7,7,2,0.285714285714286,0.571428571428571,4
"449",18,8,12,8,0.666666666666667,1.33333333333333,16
"450",18,9,15,9,0.6,1.2,18
"451",18,10,12,2,0.166666666666667,0.333333333333333,4
"452",18,11,12,5,0.416666666666667,0.833333333333333,10
"453",18,12,11,2,0.181818181818182,0.363636363636364,4
"454",18,13,14,7,0.5,1,14
"455",18,14,7,3,0.428571428571429,0.857142857142857,6
"456",18,15,5,0,0,0,0
"457",18,16,7,3,0.428571428571429,0.857142857142857,6
"458",18,17,7,3,0.428571428571429,0.857142857142857,6
"459",18,18,11,6,0.545454545454545,1.09090909090909,12
"460",18,19,7,1,0.142857142857143,0.285714285714286,2
"461",18,20,4,3,0.75,1.5,6
"462",18,21,8,5,0.625,1.25,10
"463",18,22,9,4,0.444444444444444,0.888888888888889,8
"464",18,23,8,3,0.375,0.75,6
"465",18,24,9,1,0.111111111111111,0.222222222222222,2
"466",18,25,8,3,0.375,0.75,6
"467",18,26,7,2,0.285714285714286,0.571428571428571,4
"468",18,27,1,1,1,2,2
"469",18,28,2,0,0,0,0
"470",18,29,3,0,0,0,0
"471",18,30,9,3,0.333333333333333,1,9
"472",18,31,13,5,0.384615384615385,1.15384615384615,15
"473",18,32,8,1,0.125,0.375,3
"474",18,33,2,0,0,0,0
"475",19,4,1,0,0,0,0
"476",19,5,1,0,0,0,0
"477",19,6,1,0,0,0,0
"478",19,7,8,5,0.625,1.25,10
"479",19,8,5,3,0.6,1.2,6
"480",19,9,15,8,0.533333333333333,1.06666666666667,16
"481",19,10,8,3,0.375,0.75,6
"482",19,11,6,1,0.166666666666667,0.333333333333333,2
"483",19,12,9,1,0.111111111111111,0.222222222222222,2
"484",19,13,2,0,0,0,0
"485",19,14,10,3,0.3,0.6,6
"486",19,15,7,4,0.571428571428571,1.14285714285714,8
"487",19,16,4,2,0.5,1,4
"488",19,17,9,2,0.222222222222222,0.444444444444444,4
"489",19,18,5,3,0.6,1.2,6
"490",19,19,5,3,0.6,1.2,6
"491",19,20,2,0,0,0,0
"492",19,21,5,0,0,0,0
